Epoch 1 | iter 10 step 0 | loss train: 2.686, val: n/a | iter time: 1210.97 ms
Epoch 1 | iter 370 step 23 | loss train: 1.659, val: n/a | iter time: 1750.45 ms
Epoch 1 | iter 380 step 23 | loss train: 1.604, val: n/a | iter time: 1626.01 ms
Epoch 1 | iter 390 step 24 | loss train: 1.600, val: n/a | iter time: 1750.77 ms
Epoch 1 | iter 400 step 25 | loss train: 1.602, val: n/a | iter time: 1241.98 ms (step)
Epoch 1 | iter 410 step 25 | loss train: 1.580, val: n/a | iter time: 1425.49 ms
Epoch 1 | iter 420 step 26 | loss train: 1.487, val: n/a | iter time: 1208.14 ms
Epoch 1 | iter 430 step 26 | loss train: 1.517, val: n/a | iter time: 1211.44 ms
Epoch 1 | iter 440 step 27 | loss train: 1.441, val: n/a | iter time: 2043.18 ms
Epoch 1 | iter 450 step 28 | loss train: 1.417, val: n/a | iter time: 3324.46 ms
Epoch 1 | iter 460 step 28 | loss train: 1.400, val: n/a | iter time: 2008.02 ms
Epoch 1 | iter 470 step 29 | loss train: 1.310, val: n/a | iter time: 1241.30 ms
Epoch 1 | iter 480 step 30 | loss train: 1.286, val: n/a | iter time: 1429.53 ms (step)
Epoch 1 | iter 490 step 30 | loss train: 1.270, val: n/a | iter time: 1236.19 ms
Epoch 1 | iter 500 step 31 | loss train: 1.254, val: n/a | iter time: 1098.32 ms
Epoch 1 | iter 510 step 31 | loss train: 1.169, val: n/a | iter time: 1869.74 ms
Epoch 1 | iter 520 step 32 | loss train: 1.137, val: n/a | iter time: 1748.24 ms
Epoch 1 | iter 530 step 33 | loss train: 1.100, val: n/a | iter time: 1192.61 ms
Epoch 1 | iter 540 step 33 | loss train: 1.101, val: n/a | iter time: 1189.69 ms
Epoch 1 | iter 550 step 34 | loss train: 1.069, val: n/a | iter time: 1188.28 ms
Epoch 1 | iter 560 step 35 | loss train: 0.973, val: n/a | iter time: 2492.36 ms (step)
Epoch 1 | iter 570 step 35 | loss train: 0.959, val: n/a | iter time: 1206.19 ms
Epoch 1 | iter 580 step 36 | loss train: 0.969, val: n/a | iter time: 1423.53 ms
Epoch 1 | iter 590 step 36 | loss train: 0.870, val: n/a | iter time: 1194.41 ms
Epoch 1 | iter 600 step 37 | loss train: 0.890, val: n/a | iter time: 2042.97 ms
Epoch 1 | iter 610 step 38 | loss train: 0.906, val: n/a | iter time: 1608.80 ms
Epoch 1 | iter 620 step 38 | loss train: 0.843, val: n/a | iter time: 1186.83 ms
Epoch 1 | iter 630 step 39 | loss train: 0.782, val: n/a | iter time: 1422.88 ms
Epoch 1 | iter 640 step 40 | loss train: 0.780, val: n/a | iter time: 1875.97 ms (step)
Epoch 1 | iter 650 step 40 | loss train: 0.807, val: n/a | iter time: 1091.08 ms
Epoch 1 | iter 660 step 41 | loss train: 0.724, val: n/a | iter time: 1238.23 ms
Epoch 1 | iter 670 step 41 | loss train: 0.715, val: n/a | iter time: 1190.04 ms
Epoch 1 | iter 680 step 42 | loss train: 0.814, val: n/a | iter time: 1421.09 ms
Epoch 1 | iter 690 step 43 | loss train: 0.702, val: n/a | iter time: 1195.84 ms
Epoch 1 | iter 700 step 43 | loss train: 0.670, val: n/a | iter time: 1261.42 ms
Epoch 1 | iter 710 step 44 | loss train: 0.667, val: n/a | iter time: 1235.13 ms
Epoch 1 | iter 720 step 45 | loss train: 0.718, val: n/a | iter time: 1604.14 ms (step)
Epoch 1 | iter 730 step 45 | loss train: 0.672, val: n/a | iter time: 1093.08 ms
Epoch 1 | iter 740 step 46 | loss train: 0.695, val: n/a | iter time: 1190.89 ms
Epoch 1 | iter 750 step 46 | loss train: 0.689, val: n/a | iter time: 1237.58 ms
Epoch 1 | iter 760 step 47 | loss train: 0.629, val: n/a | iter time: 1192.92 ms
Epoch 1 | iter 770 step 48 | loss train: 0.543, val: n/a | iter time: 1190.71 ms
Epoch 1 | iter 780 step 48 | loss train: 0.554, val: n/a | iter time: 2129.90 ms
Epoch 1 | iter 790 step 49 | loss train: 0.596, val: n/a | iter time: 1192.50 ms
Epoch 1 | iter 800 step 50 | loss train: 0.629, val: n/a | iter time: 1755.67 ms (step)
Epoch 1 | iter 810 step 50 | loss train: 0.597, val: n/a | iter time: 1423.34 ms
Epoch 1 | iter 820 step 51 | loss train: 0.570, val: n/a | iter time: 1208.52 ms
Epoch 1 | iter 830 step 51 | loss train: 0.587, val: n/a | iter time: 1235.00 ms
Epoch 1 | iter 840 step 52 | loss train: 0.570, val: n/a | iter time: 1191.66 ms
Epoch 1 | iter 850 step 53 | loss train: 0.573, val: n/a | iter time: 1200.16 ms
Epoch 1 | iter 860 step 53 | loss train: 0.595, val: n/a | iter time: 1191.46 ms
Epoch 1 | iter 870 step 54 | loss train: 0.573, val: n/a | iter time: 1191.89 ms
Epoch 1 | iter 880 step 55 | loss train: 0.592, val: n/a | iter time: 1192.72 ms (step)
Epoch 1 | iter 890 step 55 | loss train: 0.616, val: n/a | iter time: 1208.64 ms
Epoch 1 | iter 900 step 56 | loss train: 0.568, val: n/a | iter time: 2093.82 ms
Epoch 1 | iter 910 step 56 | loss train: 0.568, val: n/a | iter time: 1194.78 ms
Epoch 1 | iter 920 step 57 | loss train: 0.448, val: n/a | iter time: 1236.56 ms
Epoch 1 | iter 930 step 58 | loss train: 0.493, val: n/a | iter time: 1922.26 ms
Epoch 1 | iter 940 step 58 | loss train: 0.513, val: n/a | iter time: 1880.57 ms
Epoch 1 | iter 950 step 59 | loss train: 0.557, val: n/a | iter time: 1085.95 ms
Epoch 1 | iter 960 step 60 | loss train: 0.531, val: n/a | iter time: 1213.30 ms (step)
Epoch 1 | iter 970 step 60 | loss train: 0.505, val: n/a | iter time: 1237.66 ms
Epoch 1 | iter 980 step 61 | loss train: 0.483, val: n/a | iter time: 2010.27 ms
Epoch 1 | iter 990 step 61 | loss train: 0.489, val: n/a | iter time: 1091.55 ms
Epoch 1 | iter 1000 step 62 | loss train: 0.501, val: n/a | iter time: 1188.73 ms
Epoch 1 | iter 1010 step 63 | loss train: 0.554, val: n/a | iter time: 1213.63 ms
Epoch 1 | iter 1020 step 63 | loss train: 0.501, val: n/a | iter time: 1258.24 ms
Epoch 1 | iter 1030 step 64 | loss train: 0.480, val: n/a | iter time: 2014.40 ms
Epoch 1 | iter 1040 step 65 | loss train: 0.456, val: n/a | iter time: 1195.98 ms (step)
Epoch 1 | iter 1050 step 65 | loss train: 0.503, val: n/a | iter time: 1187.96 ms
Epoch 1 | iter 1060 step 66 | loss train: 0.468, val: n/a | iter time: 1192.95 ms
Epoch 1 | iter 1070 step 66 | loss train: 0.451, val: n/a | iter time: 1438.82 ms
Epoch 1 | iter 1080 step 67 | loss train: 0.439, val: n/a | iter time: 1192.13 ms
Epoch 1 | iter 1090 step 68 | loss train: 0.400, val: n/a | iter time: 1600.12 ms
Epoch 1 | iter 1100 step 68 | loss train: 0.424, val: n/a | iter time: 2052.42 ms
Epoch 1 | iter 1110 step 69 | loss train: 0.425, val: n/a | iter time: 1187.02 ms
Epoch 1 | iter 1120 step 70 | loss train: 0.456, val: n/a | iter time: 1096.90 ms (step)
Epoch 1 | iter 1130 step 70 | loss train: 0.405, val: n/a | iter time: 1192.32 ms
Epoch 1 | iter 1140 step 71 | loss train: 0.404, val: n/a | iter time: 1236.81 ms
Epoch 1 | iter 1150 step 71 | loss train: 0.397, val: n/a | iter time: 1422.59 ms
Epoch 1 | iter 1160 step 72 | loss train: 0.441, val: n/a | iter time: 2024.14 ms
Epoch 1 | iter 1170 step 73 | loss train: 0.428, val: n/a | iter time: 1194.57 ms
Epoch 1 | iter 1180 step 73 | loss train: 0.359, val: n/a | iter time: 1237.30 ms
Epoch 1 | iter 1190 step 74 | loss train: 0.349, val: n/a | iter time: 1238.66 ms
Epoch 1 | iter 1200 step 75 | loss train: 0.403, val: n/a | iter time: 2405.50 ms (step)
Epoch 1 | iter 1210 step 75 | loss train: 0.429, val: n/a | iter time: 1237.65 ms
Epoch 1 | iter 1220 step 76 | loss train: 0.381, val: n/a | iter time: 1757.22 ms
Epoch 1 | iter 1230 step 76 | loss train: 0.376, val: n/a | iter time: 1190.58 ms
Epoch 1 | iter 1240 step 77 | loss train: 0.432, val: n/a | iter time: 1242.37 ms
Epoch 1 | iter 1250 step 78 | loss train: 0.418, val: n/a | iter time: 1208.15 ms
Epoch 1 | iter 1260 step 78 | loss train: 0.377, val: n/a | iter time: 1236.70 ms
Epoch 1 | iter 1270 step 79 | loss train: 0.396, val: n/a | iter time: 1190.81 ms
Epoch 1 | iter 1280 step 80 | loss train: 0.367, val: n/a | iter time: 1244.59 ms (step)
Epoch 1 | iter 1290 step 80 | loss train: 0.340, val: n/a | iter time: 1192.42 ms
Epoch 1 | iter 1300 step 81 | loss train: 0.416, val: n/a | iter time: 1650.98 ms
Epoch 1 | iter 1310 step 81 | loss train: 0.452, val: n/a | iter time: 1234.90 ms
Epoch 1 | iter 1320 step 82 | loss train: 0.377, val: n/a | iter time: 1235.62 ms
Epoch 1 | iter 1330 step 83 | loss train: 0.306, val: n/a | iter time: 1235.61 ms
Epoch 1 | iter 1340 step 83 | loss train: 0.334, val: n/a | iter time: 1242.62 ms
Epoch 1 | iter 1350 step 84 | loss train: 0.381, val: n/a | iter time: 1188.42 ms
Epoch 1 | iter 1360 step 85 | loss train: 0.394, val: n/a | iter time: 1616.17 ms (step)
Epoch 1 | iter 1370 step 85 | loss train: 0.356, val: n/a | iter time: 1190.70 ms
Epoch 1 | iter 1380 step 86 | loss train: 0.328, val: n/a | iter time: 2046.17 ms
Epoch 1 | iter 1390 step 86 | loss train: 0.297, val: n/a | iter time: 1193.32 ms
Epoch 1 | iter 1400 step 87 | loss train: 0.409, val: n/a | iter time: 1091.63 ms
Epoch 1 | iter 1410 step 88 | loss train: 0.339, val: n/a | iter time: 1235.97 ms
Epoch 1 | iter 1420 step 88 | loss train: 0.336, val: n/a | iter time: 1188.46 ms
Epoch 1 | iter 1430 step 89 | loss train: 0.385, val: n/a | iter time: 2151.45 ms
Epoch 1 | iter 1440 step 90 | loss train: 0.393, val: n/a | iter time: 1192.70 ms (step)
Epoch 1 | iter 1450 step 90 | loss train: 0.337, val: n/a | iter time: 1190.78 ms
Epoch 1 | iter 1460 step 91 | loss train: 0.336, val: n/a | iter time: 1238.86 ms
Epoch 1 | iter 1470 step 91 | loss train: 0.369, val: n/a | iter time: 1718.71 ms
Epoch 1 | iter 1480 step 92 | loss train: 0.411, val: n/a | iter time: 2096.12 ms
Epoch 1 | iter 1490 step 93 | loss train: 0.382, val: n/a | iter time: 1729.12 ms
Epoch 1 | iter 1500 step 93 | loss train: 0.360, val: n/a | iter time: 1192.88 ms
Epoch 1 | iter 1510 step 94 | loss train: 0.307, val: n/a | iter time: 1092.07 ms
Epoch 1 | iter 1520 step 95 | loss train: 0.305, val: n/a | iter time: 1424.46 ms (step)
Epoch 1 | iter 1530 step 95 | loss train: 0.292, val: n/a | iter time: 2006.89 ms
Epoch 1 | iter 1540 step 96 | loss train: 0.323, val: n/a | iter time: 1433.12 ms
Epoch 1 | iter 1550 step 96 | loss train: 0.353, val: n/a | iter time: 2660.10 ms
Epoch 1 | iter 1560 step 97 | loss train: 0.379, val: n/a | iter time: 1754.78 ms
Epoch 1 | iter 1570 step 98 | loss train: 0.299, val: n/a | iter time: 1192.98 ms
Epoch 1 | iter 1580 step 98 | loss train: 0.377, val: n/a | iter time: 1423.60 ms
Epoch 1 | iter 1590 step 99 | loss train: 0.339, val: n/a | iter time: 1191.13 ms
Epoch 1 | iter 1600 step 100 | loss train: 0.301, val: n/a | iter time: 1245.92 ms (step)
Epoch 1 | iter 1610 step 100 | loss train: 0.274, val: 0.324 | iter time: 1190.72 ms
Epoch 1 | iter 1620 step 101 | loss train: 0.290, val: 0.324 | iter time: 1192.21 ms
Epoch 1 | iter 1630 step 101 | loss train: 0.310, val: 0.324 | iter time: 2127.30 ms
Epoch 1 | iter 1640 step 102 | loss train: 0.316, val: 0.324 | iter time: 1252.74 ms
Epoch 1 | iter 1650 step 103 | loss train: 0.267, val: 0.324 | iter time: 1440.86 ms
Epoch 1 | iter 1660 step 103 | loss train: 0.277, val: 0.324 | iter time: 1420.01 ms
Epoch 1 | iter 1670 step 104 | loss train: 0.294, val: 0.324 | iter time: 2489.04 ms
Epoch 1 | iter 1680 step 105 | loss train: 0.272, val: 0.324 | iter time: 1424.95 ms (step)
Epoch 1 | iter 1690 step 105 | loss train: 0.242, val: 0.324 | iter time: 1251.11 ms
Epoch 1 | iter 1700 step 106 | loss train: 0.359, val: 0.324 | iter time: 3432.85 ms
Epoch 1 | iter 1710 step 106 | loss train: 0.370, val: 0.324 | iter time: 1926.72 ms
Epoch 1 | iter 1720 step 107 | loss train: 0.313, val: 0.324 | iter time: 2045.48 ms
Epoch 1 | iter 1730 step 108 | loss train: 0.277, val: 0.324 | iter time: 1189.95 ms
Epoch 1 | iter 1740 step 108 | loss train: 0.274, val: 0.324 | iter time: 1236.85 ms
Epoch 1 | iter 1750 step 109 | loss train: 0.238, val: 0.324 | iter time: 1256.57 ms
Epoch 1 | iter 1760 step 110 | loss train: 0.223, val: 0.324 | iter time: 1243.56 ms (step)
Epoch 1 | iter 1770 step 110 | loss train: 0.306, val: 0.324 | iter time: 1238.25 ms
Epoch 1 | iter 1780 step 111 | loss train: 0.285, val: 0.324 | iter time: 1191.64 ms
Epoch 1 | iter 1790 step 111 | loss train: 0.230, val: 0.324 | iter time: 1190.28 ms
Epoch 1 | iter 1800 step 112 | loss train: 0.261, val: 0.324 | iter time: 1257.62 ms
Epoch 1 | iter 1810 step 113 | loss train: 0.266, val: 0.324 | iter time: 1191.04 ms
Epoch 1 | iter 1820 step 113 | loss train: 0.284, val: 0.324 | iter time: 1091.06 ms
Epoch 1 | iter 1830 step 114 | loss train: 0.233, val: 0.324 | iter time: 1191.58 ms
Epoch 1 | iter 1840 step 115 | loss train: 0.254, val: 0.324 | iter time: 1193.52 ms (step)
Epoch 1 | iter 1850 step 115 | loss train: 0.259, val: 0.324 | iter time: 1420.66 ms
Epoch 1 | iter 1860 step 116 | loss train: 0.245, val: 0.324 | iter time: 1191.12 ms
Epoch 1 | iter 1870 step 116 | loss train: 0.242, val: 0.324 | iter time: 1191.13 ms
Epoch 1 | iter 1880 step 117 | loss train: 0.257, val: 0.324 | iter time: 1191.75 ms
Epoch 1 | iter 1890 step 118 | loss train: 0.235, val: 0.324 | iter time: 2016.33 ms
Epoch 1 | iter 1900 step 118 | loss train: 0.290, val: 0.324 | iter time: 3438.33 ms
Epoch 1 | iter 1910 step 119 | loss train: 0.318, val: 0.324 | iter time: 1250.75 ms
Epoch 1 | iter 1920 step 120 | loss train: 0.296, val: 0.324 | iter time: 1095.50 ms (step)
Epoch 1 | iter 1930 step 120 | loss train: 0.370, val: 0.324 | iter time: 2014.33 ms
Epoch 1 | iter 1940 step 121 | loss train: 0.325, val: 0.324 | iter time: 1093.06 ms
Epoch 1 | iter 1950 step 121 | loss train: 0.246, val: 0.324 | iter time: 2369.52 ms
Epoch 1 | iter 1960 step 122 | loss train: 0.199, val: 0.324 | iter time: 1188.59 ms
Epoch 1 | iter 1970 step 123 | loss train: 0.233, val: 0.324 | iter time: 1187.50 ms
Epoch 1 | iter 1980 step 123 | loss train: 0.244, val: 0.324 | iter time: 1449.98 ms
Epoch 1 | iter 1990 step 124 | loss train: 0.229, val: 0.324 | iter time: 2488.59 ms
Epoch 1 | iter 2000 step 125 | loss train: 0.217, val: 0.324 | iter time: 1197.19 ms (step)
Epoch 1 | iter 2010 step 125 | loss train: 0.238, val: 0.324 | iter time: 1092.99 ms
Epoch 1 | iter 2020 step 126 | loss train: 0.224, val: 0.324 | iter time: 2043.84 ms
Epoch 1 | iter 2030 step 126 | loss train: 0.213, val: 0.324 | iter time: 1611.24 ms
Epoch 1 | iter 2040 step 127 | loss train: 0.228, val: 0.324 | iter time: 1206.61 ms
Epoch 1 | iter 2050 step 128 | loss train: 0.227, val: 0.324 | iter time: 1423.26 ms
Epoch 1 | iter 2060 step 128 | loss train: 0.216, val: 0.324 | iter time: 1190.71 ms
Epoch 1 | iter 2070 step 129 | loss train: 0.217, val: 0.324 | iter time: 1235.42 ms
Epoch 1 | iter 2080 step 130 | loss train: 0.288, val: 0.324 | iter time: 1743.01 ms (step)
Epoch 1 | iter 2090 step 130 | loss train: 0.248, val: 0.324 | iter time: 1236.11 ms
Epoch 1 | iter 2100 step 131 | loss train: 0.198, val: 0.324 | iter time: 1881.45 ms
Epoch 1 | iter 2110 step 131 | loss train: 0.229, val: 0.324 | iter time: 1192.17 ms
Epoch 1 | iter 2120 step 132 | loss train: 0.221, val: 0.324 | iter time: 1191.72 ms
Epoch 1 | iter 2130 step 133 | loss train: 0.204, val: 0.324 | iter time: 1190.18 ms
Epoch 1 | iter 2140 step 133 | loss train: 0.209, val: 0.324 | iter time: 1190.56 ms
Epoch 1 | iter 2150 step 134 | loss train: 0.232, val: 0.324 | iter time: 1893.76 ms
Epoch 1 | iter 2160 step 135 | loss train: 0.206, val: 0.324 | iter time: 1192.12 ms (step)
Epoch 1 | iter 2170 step 135 | loss train: 0.203, val: 0.324 | iter time: 1719.24 ms
Epoch 1 | iter 2180 step 136 | loss train: 0.214, val: 0.324 | iter time: 1234.08 ms
Epoch 1 | iter 2190 step 136 | loss train: 0.212, val: 0.324 | iter time: 1212.59 ms
Epoch 1 | iter 2200 step 137 | loss train: 0.254, val: 0.324 | iter time: 1190.65 ms
Epoch 1 | iter 2210 step 138 | loss train: 0.241, val: 0.324 | iter time: 2015.20 ms
Epoch 1 | iter 2220 step 138 | loss train: 0.224, val: 0.324 | iter time: 1241.02 ms
Epoch 1 | iter 2230 step 139 | loss train: 0.235, val: 0.324 | iter time: 2115.86 ms
Epoch 1 | iter 2240 step 140 | loss train: 0.248, val: 0.324 | iter time: 1197.02 ms (step)
Epoch 1 | iter 2250 step 140 | loss train: 0.206, val: 0.324 | iter time: 2043.57 ms
Epoch 1 | iter 2260 step 141 | loss train: 0.201, val: 0.324 | iter time: 1192.65 ms
Epoch 1 | iter 2270 step 141 | loss train: 0.191, val: 0.324 | iter time: 1190.93 ms
Epoch 1 | iter 2280 step 142 | loss train: 0.209, val: 0.324 | iter time: 2117.60 ms
Epoch 1 | iter 2290 step 143 | loss train: 0.211, val: 0.324 | iter time: 1238.36 ms
Epoch 1 | iter 2300 step 143 | loss train: 0.226, val: 0.324 | iter time: 1192.46 ms
Epoch 1 | iter 2310 step 144 | loss train: 0.191, val: 0.324 | iter time: 1091.80 ms
Epoch 1 | iter 2320 step 145 | loss train: 0.175, val: 0.324 | iter time: 1616.98 ms (step)
Epoch 1 | iter 2330 step 145 | loss train: 0.212, val: 0.324 | iter time: 1236.98 ms
Epoch 1 | iter 2340 step 146 | loss train: 0.224, val: 0.324 | iter time: 1236.71 ms
Epoch 1 | iter 2350 step 146 | loss train: 0.220, val: 0.324 | iter time: 1262.13 ms
Epoch 1 | iter 2360 step 147 | loss train: 0.206, val: 0.324 | iter time: 1187.92 ms
Epoch 1 | iter 2370 step 148 | loss train: 0.186, val: 0.324 | iter time: 1193.79 ms
Epoch 1 | iter 2380 step 148 | loss train: 0.220, val: 0.324 | iter time: 1911.41 ms
Epoch 1 | iter 2390 step 149 | loss train: 0.233, val: 0.324 | iter time: 1736.23 ms
Epoch 1 | iter 2400 step 150 | loss train: 0.215, val: 0.324 | iter time: 1094.16 ms (step)
Epoch 1 | iter 2410 step 150 | loss train: 0.207, val: 0.324 | iter time: 1754.72 ms
Epoch 1 | iter 2420 step 151 | loss train: 0.210, val: 0.324 | iter time: 1194.09 ms
Epoch 1 | iter 2430 step 151 | loss train: 0.202, val: 0.324 | iter time: 1235.11 ms
Epoch 1 | iter 2440 step 152 | loss train: 0.188, val: 0.324 | iter time: 1190.88 ms
Epoch 1 | iter 2450 step 153 | loss train: 0.215, val: 0.324 | iter time: 1209.48 ms
Epoch 1 | iter 2460 step 153 | loss train: 0.202, val: 0.324 | iter time: 2043.24 ms
Epoch 1 | iter 2470 step 154 | loss train: 0.228, val: 0.324 | iter time: 1238.18 ms
Epoch 1 | iter 2480 step 155 | loss train: 0.239, val: 0.324 | iter time: 1425.38 ms (step)
Epoch 1 | iter 2490 step 155 | loss train: 0.243, val: 0.324 | iter time: 3325.54 ms
Epoch 1 | iter 2500 step 156 | loss train: 0.262, val: 0.324 | iter time: 1931.86 ms
Epoch 2 | iter 2510 step 156 | loss train: 0.227, val: 0.324 | iter time: 1089.01 ms
Epoch 2 | iter 2520 step 157 | loss train: 0.192, val: 0.324 | iter time: 2014.82 ms
Epoch 2 | iter 2530 step 158 | loss train: 0.201, val: 0.324 | iter time: 1918.09 ms
Epoch 2 | iter 2540 step 158 | loss train: 0.207, val: 0.324 | iter time: 1127.76 ms
Epoch 2 | iter 2550 step 159 | loss train: 0.193, val: 0.324 | iter time: 1178.63 ms
Epoch 2 | iter 2560 step 160 | loss train: 0.178, val: 0.324 | iter time: 1198.30 ms (step)
Epoch 2 | iter 2570 step 160 | loss train: 0.177, val: 0.324 | iter time: 1755.79 ms
Epoch 2 | iter 2580 step 161 | loss train: 0.186, val: 0.324 | iter time: 1188.52 ms
Epoch 2 | iter 2590 step 161 | loss train: 0.158, val: 0.324 | iter time: 1194.94 ms
Epoch 2 | iter 2600 step 162 | loss train: 0.186, val: 0.324 | iter time: 1186.75 ms
Epoch 2 | iter 2610 step 163 | loss train: 0.212, val: 0.324 | iter time: 1238.22 ms
Epoch 2 | iter 2620 step 163 | loss train: 0.213, val: 0.324 | iter time: 2091.05 ms
Epoch 2 | iter 2630 step 164 | loss train: 0.193, val: 0.324 | iter time: 1090.79 ms
Epoch 2 | iter 2640 step 165 | loss train: 0.180, val: 0.324 | iter time: 1193.23 ms (step)
Epoch 2 | iter 2650 step 165 | loss train: 0.164, val: 0.324 | iter time: 1757.57 ms
Epoch 2 | iter 2660 step 166 | loss train: 0.173, val: 0.324 | iter time: 1235.70 ms
Epoch 2 | iter 2670 step 166 | loss train: 0.180, val: 0.324 | iter time: 1763.83 ms
Epoch 2 | iter 2680 step 167 | loss train: 0.195, val: 0.324 | iter time: 1207.09 ms
Epoch 2 | iter 2690 step 168 | loss train: 0.178, val: 0.324 | iter time: 1199.51 ms
Epoch 2 | iter 2700 step 168 | loss train: 0.188, val: 0.324 | iter time: 1193.77 ms
Epoch 2 | iter 2710 step 169 | loss train: 0.169, val: 0.324 | iter time: 1235.90 ms
Epoch 2 | iter 2720 step 170 | loss train: 0.174, val: 0.324 | iter time: 1919.16 ms (step)
Epoch 2 | iter 2730 step 170 | loss train: 0.204, val: 0.324 | iter time: 1623.57 ms
Epoch 2 | iter 2740 step 171 | loss train: 0.181, val: 0.324 | iter time: 1221.43 ms
Epoch 2 | iter 2750 step 171 | loss train: 0.184, val: 0.324 | iter time: 1194.31 ms
Epoch 2 | iter 2760 step 172 | loss train: 0.161, val: 0.324 | iter time: 2758.13 ms
Epoch 2 | iter 2770 step 173 | loss train: 0.177, val: 0.324 | iter time: 1197.84 ms
Epoch 2 | iter 2780 step 173 | loss train: 0.172, val: 0.324 | iter time: 1236.48 ms
Epoch 2 | iter 2790 step 174 | loss train: 0.193, val: 0.324 | iter time: 1879.81 ms
Epoch 2 | iter 2800 step 175 | loss train: 0.184, val: 0.324 | iter time: 1430.69 ms (step)
Epoch 2 | iter 2810 step 175 | loss train: 0.142, val: 0.324 | iter time: 1899.53 ms
Epoch 2 | iter 2820 step 176 | loss train: 0.175, val: 0.324 | iter time: 1191.69 ms
Epoch 2 | iter 2830 step 176 | loss train: 0.176, val: 0.324 | iter time: 1177.43 ms
Epoch 2 | iter 2840 step 177 | loss train: 0.175, val: 0.324 | iter time: 1879.94 ms
Epoch 2 | iter 2850 step 178 | loss train: 0.176, val: 0.324 | iter time: 2644.93 ms
Epoch 2 | iter 2860 step 178 | loss train: 0.185, val: 0.324 | iter time: 1195.35 ms
Epoch 2 | iter 2870 step 179 | loss train: 0.181, val: 0.324 | iter time: 2133.53 ms
Epoch 2 | iter 2880 step 180 | loss train: 0.176, val: 0.324 | iter time: 2150.56 ms (step)
Epoch 2 | iter 2890 step 180 | loss train: 0.154, val: 0.324 | iter time: 2011.57 ms
Epoch 2 | iter 2900 step 181 | loss train: 0.176, val: 0.324 | iter time: 1187.35 ms
Epoch 2 | iter 2910 step 181 | loss train: 0.170, val: 0.324 | iter time: 1258.68 ms
